frame_id,CI
4,0.5044642857142857
5,0.4303256
6,0.43321973
7,0.40085676
8,0.3719799
8,0.3719799
9,0.3702604
9,0.42519397
10,0.42511222
10,0.4233068
11,0.42202452
11,0.42141858
12,0.41987994
12,0.3457931
13,0.34532812
13,0.35084468
14,0.35217646
14,0.25589377
15,0.25852922
15,0.2645353
16,0.26643643
16,0.28044936
17,0.2818883
17,0.28842676
18,0.30963343
18,0.31499672
18,0.31499672
19,0.3154387
19,0.31994495
19,0.36082038
20,0.35848132
20,0.3605176
20,0.36462167
21,0.36422417
21,0.36651424
21,0.36629334
22,0.36682346
22,0.3687835
22,0.35889405
23,0.35936728
23,0.36122963
23,0.36363152
24,0.36405644
24,0.36525354
24,0.36480126
25,0.36507455
25,0.36693996
25,0.36793312
26,0.3682365
26,0.36959973
26,0.37098128
27,0.37130344
27,0.3722516
27,0.36954045
28,0.36978784
28,0.37097645
28,0.37163627
29,0.37637162
29,0.37748113
29,0.37836075
29,0.37836075
30,0.3786102
30,0.37965074
30,0.3735353
30,0.3494447
31,0.34958398
31,0.35011238
31,0.35095596
31,0.36419517
32,0.3688198
32,0.369548
32,0.36935025
32,0.36710683
32,0.36710683
33,0.36725557
33,0.3679239
33,0.36854482
33,0.3616344
33,0.37740684
34,0.3775175
34,0.3780086
34,0.3771452
34,0.37635615
34,0.38092023
35,0.38099825
35,0.38148424
35,0.3825606
35,0.37508282
35,0.3765343
36,0.37663093
36,0.37698248
36,0.37564337
36,0.38023737
36,0.37562102
37,0.37571144
37,0.37616217
37,0.3757309
37,0.37948373
37,0.37759522
38,0.37765577
38,0.37808862
38,0.37855294
38,0.38124937
38,0.38049003
39,0.37609035
39,0.37650684
39,0.3764109
39,0.34373677
39,0.3445452
40,0.3450923
40,0.34539926
40,0.34623685
40,0.33424947
40,0.3348549
41,0.33512646
41,0.33550513
41,0.33453032
41,0.33589533
41,0.33719933
42,0.33755574
42,0.33794606
42,0.3385705
42,0.33953395
42,0.34093672
43,0.34151372
43,0.3418683
43,0.3417754
43,0.31081066
43,0.31169415
44,0.31222296
44,0.31257868
44,0.3131241
44,0.31872708
44,0.3183647
45,0.31865203
45,0.3189201
45,0.31921512
45,0.32351544
45,0.32321855
46,0.32348537
46,0.32382366
46,0.32362396
46,0.32703856
46,0.3274682
47,0.32784936
47,0.32817832
47,0.3282824
47,0.3316109
47,0.3305994
48,0.33092967
48,0.33124992
48,0.3316309
48,0.33560234
48,0.33493733
49,0.3352065
49,0.33545193
49,0.3358084
49,0.33929428
49,0.3387392
50,0.3390735
50,0.33937073
50,0.33970502
50,0.34068587
50,0.34037545
51,0.34061942
51,0.34092692
51,0.34124106
51,0.3441756
51,0.3436526
52,0.3439605
52,0.3442438
52,0.3445395
52,0.34780964
52,0.3468451
53,0.34714025
53,0.34742588
53,0.34770477
53,0.3504633
53,0.35066783
54,0.3508791
54,0.35110217
54,0.35136566
54,0.35382405
54,0.35332802
55,0.35357216
55,0.3538472
55,0.35412827
55,0.35591325
55,0.35544387
56,0.35566384
56,0.355933
56,0.356137
56,0.35777572
56,0.35749996
57,0.35772568
57,0.35798928
57,0.3582135
57,0.3590662
57,0.35901713
58,0.3592343
58,0.35949263
58,0.35973513
58,0.3613583
58,0.3610176
59,0.36125377
59,0.36145255
59,0.36165458
59,0.3634372
59,0.3636168
60,0.36380377
60,0.36405995
60,0.36425242
60,0.36621013
60,0.36663762
61,0.36683154
61,0.3670699
61,0.3672535
61,0.36796558
61,0.368233
62,0.3684458
62,0.36868653
62,0.36886185
62,0.3700527
62,0.37048903
63,0.37063196
63,0.37082562
63,0.37097475
63,0.37246478
63,0.3726274
64,0.37280187
64,0.37307614
64,0.37323704
64,0.37457958
64,0.3705356
65,0.37072876
65,0.37095696
65,0.37111104
65,0.37260935
65,0.3707575
66,0.37088427
66,0.36660498
66,0.3678857
66,0.36761555
67,0.3722376
67,0.3721817
67,0.37337002
67,0.3737896
67,0.3737896
68,0.3739291
68,0.37409917
68,0.37542078
68,0.37407842
68,0.38698274
69,0.38712528
69,0.38724172
69,0.38768464
69,0.38721848
69,0.38693702
70,0.3915204
70,0.39163232
70,0.39226976
70,0.3925087
70,0.39227623
70,0.39227623
71,0.39238095
71,0.3924886
71,0.39336297
71,0.39338127
71,0.39517906
71,0.40319523
72,0.40329123
72,0.40338007
72,0.40404257
72,0.402438
72,0.40043512
72,0.40392634
73,0.40401945
73,0.404105
73,0.40487504
73,0.4041667
73,0.4055064
73,0.40572584
74,0.40580717
74,0.40588966
74,0.40649542
74,0.4063916
74,0.40692475
74,0.4070419
75,0.40714493
75,0.4072148
75,0.40739182
75,0.4075064
75,0.39992312
75,0.39631915
76,0.39640418
76,0.39649606
76,0.3970145
76,0.39682677
76,0.39211386
76,0.39286318
77,0.3929231
77,0.3929825
77,0.39350078
77,0.3935642
77,0.39352596
77,0.39415485
78,0.39425004
78,0.3943363
78,0.39483252
78,0.39490786
78,0.39556605
78,0.39595914
79,0.3960372
79,0.39610192
79,0.3965598
79,0.39660588
79,0.39812163
79,0.3984289
80,0.39849612
80,0.39855462
80,0.39808598
80,0.39824697
80,0.399532
80,0.3997791
81,0.39985302
81,0.39991823
81,0.40032354
81,0.4002932
81,0.40146047
81,0.40172225
82,0.40179417
82,0.40185732
82,0.40245944
82,0.40256962
82,0.4022664
82,0.40243223
83,0.40249366
83,0.40255487
83,0.40299064
83,0.40309864
83,0.40348497
83,0.40348306
84,0.40356496
84,0.40362433
84,0.4040444
84,0.40410417
84,0.40483385
84,0.40308097
85,0.40312618
85,0.40318376
85,0.39910963
85,0.39934325
85,0.39905697
86,0.39912173
86,0.39919028
86,0.39942285
86,0.40019894
86,0.39965075
87,0.39972708
87,0.3997812
87,0.3999665
87,0.3999655
87,0.40002534
88,0.40006614
88,0.40010622
88,0.40028265
88,0.4008081
88,0.4008979
89,0.40097088
89,0.40103424
89,0.40117764
89,0.4016014
89,0.4016501
90,0.4017085
90,0.40175816
90,0.40186402
90,0.40229
90,0.40236676
