frame_id,CI
2,0.875
2,0.875
2,0.875
2,0.875
2,0.875
2,0.875
3,0.8238969
3,0.8326414
3,0.8467609
3,0.8538207
3,0.8538192
3,0.8573493
4,0.8599842
4,0.8627854
4,0.86003333
4,0.86003333
4,0.8589221
4,0.85610175
5,0.8562248
5,0.85603964
5,0.85695696
5,0.85695696
5,0.8565866
5,0.8575268
6,0.8589666
6,0.85971314
6,0.8601718
6,0.8601718
6,0.861425
6,0.8618951
7,0.8616563
7,0.8621043
7,0.86172974
7,0.86172974
7,0.861331
7,0.860931
8,0.859853
8,0.86015165
8,0.85990185
8,0.8589858
8,0.85967886
8,0.8599806
9,0.8598726
9,0.86008584
9,0.85944676
9,0.8591137
9,0.8587868
9,0.8581964
10,0.85850865
10,0.8586686
10,0.85899854
10,0.8591547
10,0.8596287
10,0.85989106
11,0.85988224
11,0.8600067
11,0.8599021
11,0.8594129
11,0.8597816
11,0.85960674
12,0.8601508
12,0.86025035
12,0.86049175
12,0.86064994
12,0.8609449
12,0.86080503
13,0.8609552
13,0.8605274
13,0.8604293
13,0.86055875
13,0.86018956
13,0.85987234
14,0.8597355
14,0.85984576
14,0.8595761
14,0.8591631
14,0.8589357
14,0.8591414
15,0.85926753
15,0.8593609
15,0.8595563
15,0.8594377
15,0.8596878
15,0.8598619
16,0.85980815
16,0.8598882
16,0.8595931
16,0.8593309
16,0.85929304
16,0.85944223
17,0.8595468
17,0.8596161
17,0.8593604
17,0.8591331
17,0.8593358
17,0.85946506
18,0.8597592
18,0.8598199
18,0.86000085
18,0.86014557
18,0.86032283
18,0.86043596
19,0.86069554
19,0.86074907
19,0.86052775
19,0.8606554
19,0.8608118
19,0.8609117
20,0.8607869
20,0.86064804
20,0.8606304
20,0.8604386
20,0.8605776
20,0.8603529
21,0.8602413
21,0.86029375
21,0.8604492
21,0.8603958
21,0.8605202
21,0.8606161
22,0.8606735
22,0.8603957
22,0.8605356
22,0.8604876
22,0.8605996
22,0.8606859
23,0.8605882
23,0.8606463
23,0.8607729
23,0.8608842
23,0.86098546
23,0.86106354
24,0.8612649
24,0.86131775
24,0.86118245
24,0.86128354
24,0.8613757
24,0.8611902
25,0.86113465
25,0.86118287
25,0.8611574
25,0.8612497
25,0.86133385
25,0.8614098
26,0.8614533
26,0.8614975
26,0.8616097
26,0.86169434
26,0.86153173
26,0.86145926
27,0.8614993
27,0.86153996
27,0.861384
27,0.8614619
27,0.86154234
27,0.8616121
28,0.8615619
28,0.86159945
28,0.8615795
28,0.8616514
28,0.8617257
28,0.8615731
29,0.8615266
29,0.8615614
29,0.86145943
29,0.8614056
29,0.86147445
29,0.86133313
30,0.861371
30,0.8612834
30,0.86126924
30,0.8613354
30,0.8611569
30,0.86122715
31,0.8611842
31,0.8612184
31,0.8613174
31,0.861379
31,0.86144686
31,0.86139464
32,0.8613546
32,0.8612746
32,0.8612585
32,0.86131597
32,0.8613793
32,0.8613306
33,0.8613663
33,0.86139977
33,0.86138463
33,0.8613336
33,0.8613928
33,0.8612753
34,0.8614099
34,0.86126626
34,0.8613539
34,0.861306
34,0.8613615
34,0.86142766
35,0.8615541
35,0.86158884
35,0.8615042
35,0.8614592
35,0.86151135
35,0.86157346
36,0.8615049
36,0.8615377
36,0.86142933
36,0.8614825
36,0.8615316
36,0.8615901
37,0.8615504
37,0.86158127
37,0.86150694
37,0.8615571
37,0.861439
37,0.8614941
38,0.8615196
38,0.8615488
38,0.86163163
38,0.8616791
38,0.8615675
38,0.8616196
39,0.8617311
39,0.8616073
39,0.8615104
39,0.8615552
39,0.8616052
39,0.8616545
40,0.86176014
40,0.8617903
40,0.8618692
40,0.8618262
40,0.8618735
40,0.86192024
41,0.86185706
41,0.861742
41,0.8618169
41,0.8617184
41,0.86176336
41,0.8618076
42,0.861907
42,0.86185384
42,0.86184347
42,0.86188734
42,0.8619301
42,0.8619721
43,0.8619112
43,0.8619424
43,0.8618776
43,0.8619194
43,0.86196
43,0.862
44,0.8620937
44,0.86199015
44,0.86205965
44,0.8620994
44,0.8621381
44,0.8621762
45,0.8622655
45,0.86229706
45,0.86236334
45,0.86240125
45,0.8623043
45,0.86234057
46,0.8623009
46,0.8623309
46,0.8623942
46,0.86243033
46,0.8624686
46,0.8625033
47,0.86246526
47,0.8624195
47,0.8624075
47,0.86231995
47,0.8617171
47,0.8616249
48,0.86163783
48,0.86154526
48,0.8616047
48,0.8616404
48,0.8614266
48,0.861461
49,0.8614067
49,0.86143714
49,0.8613767
49,0.86134183
49,0.8612497
49,0.8612826
50,0.8613633
50,0.8613226
50,0.8613116
50,0.8613459
50,0.86125755
50,0.8612891
51,0.8612542
51,0.86121523
51,0.86127126
51,0.86130404
51,0.86128587
51,0.86131614
52,0.8612634
52,0.86129296
52,0.8612815
52,0.8611828
52,0.8611001
52,0.8610164
53,0.86098456
53,0.86090326
53,0.8608923
53,0.8609251
53,0.860619
53,0.86064917
54,0.8606622
54,0.86069167
54,0.86061895
54,0.86065054
54,0.86057997
54,0.86060894
55,0.8605788
55,0.86054385
55,0.8605348
55,0.8605652
55,0.86049575
55,0.86052364
56,0.86049455
56,0.86046094
56,0.8605126
56,0.86054194
56,0.8603761
56,0.860403
57,0.8604162
57,0.860343
57,0.8603335
57,0.8603617
57,0.8604227
57,0.86044854
58,0.8604613
58,0.8604907
58,0.86044127
58,0.8603703
58,0.8603028
58,0.8603278
59,0.8603401
59,0.8603684
59,0.86036026
59,0.8603882
59,0.8602611
59,0.86028516
60,0.8602579
60,0.86022747
60,0.8602759
60,0.8603029
60,0.8602459
60,0.8602103
61,0.8601694
61,0.8601968
61,0.86018825
61,0.86021435
61,0.8602145
61,0.86012506
62,0.8601377
62,0.86016417
62,0.8601049
62,0.8601302
62,0.85970634
62,0.8597309
63,0.8597431
63,0.85976875
63,0.8597616
63,0.859786
63,0.85979295
63,0.8598167
64,0.85988057
64,0.85990536
64,0.8598463
64,0.85986984
64,0.8596324
64,0.8596553
65,0.859666
65,0.85969
65,0.8596841
65,0.85970694
65,0.8595809
65,0.85960317
66,0.859578
66,0.8595139
66,0.8595592
66,0.8595813
66,0.8595426
66,0.8595642
67,0.8596244
67,0.8596483
67,0.85959494
67,0.8596164
67,0.85949683
67,0.8595177
68,0.8595272
68,0.85955036
68,0.8595944
68,0.8596152
68,0.85954416
68,0.8595644
69,0.85952693
69,0.8594994
69,0.8594934
69,0.8595135
69,0.8595288
69,0.85954845
70,0.85960555
70,0.8596281
70,0.8595747
70,0.8595942
70,0.85948336
70,0.85950243
71,0.8595111
71,0.85953295
71,0.85957533
71,0.85959435
71,0.85956335
71,0.8595325
72,0.85949624
72,0.8595175
72,0.8594345
72,0.85945296
72,0.8594377
72,0.8594564
73,0.85942113
73,0.859363
73,0.85932696
73,0.85934496
73,0.8593155
73,0.8593337
74,0.85934293
74,0.85931754
74,0.8592689
74,0.8592863
74,0.8592721
74,0.85928977
75,0.8592559
75,0.8592005
75,0.8591527
75,0.8591696
75,0.8592346
75,0.85925174
76,0.85930455
76,0.85932624
76,0.8593681
76,0.85938466
76,0.8593701
76,0.8593868
77,0.85936505
77,0.8592997
77,0.8592968
77,0.8593129
77,0.8593284
77,0.8593446
78,0.8593533
78,0.85933095
78,0.85929847
78,0.85931414
78,0.85937566
78,0.8593915
79,0.8592992
79,0.85932094
79,0.85931855
79,0.85933375
79,0.8593937
79,0.8594091
80,0.8593786
80,0.8593998
80,0.8594394
80,0.8594543
80,0.8594389
80,0.8594539
81,0.85950446
81,0.8594543
81,0.85942304
81,0.8594375
81,0.8594507
81,0.85939395
82,0.8593639
82,0.8593849
82,0.8593421
82,0.8593562
82,0.8593293
82,0.8593445
83,0.8593935
83,0.859414
83,0.8594526
83,0.8594664
83,0.85952294
83,0.8595377
84,0.8595856
84,0.85960555
84,0.8595638
84,0.85957724
84,0.8595623
84,0.8595767
85,0.85955733
85,0.8595768
85,0.85953605
85,0.85954916
85,0.85953456
85,0.8595487
86,0.92205673
86,0.92207575
86,0.92211354
86,0.9221263
86,0.92218053
86,0.9221943
86,0.9221943
87,0.9221755
87,0.92219406
87,0.92216593
87,0.9221784
87,0.92218983
87,0.9222033
87,0.9194597
88,0.9194986
88,0.9195142
88,0.9194804
88,0.9194908
88,0.9195356
88,0.91954684
